created_at,screen_name,text,favorite_count,retweet_count,hashtags,linked_url
2020-04-04T08:29:36Z,ReutersAfrica,world bank group president david malpass on friday said the rapidly spreading covid-19 pandemic was expected to cause a “major global recession” that would likely hit the poorest and most vulnerable countries the hardest. https://t.co/ppujx39fne https://t.co/wrndmgdmtu,14,11,NA,https://af.reuters.com/article/investingNews/idAFKBN21M08N-OZABS
2020-04-04T07:55:56Z,ReutersAfrica,"rwanda has secured a $109.4 million in emergency coronavirus funding from the international monetary fund, the first african country to do so, the fund said late on thursday. https://t.co/zuptude1oh https://t.co/n3psqgwq44",84,56,NA,https://af.reuters.com/article/investingNews/idAFKBN21L0UP-OZABS
2020-04-03T11:44:22Z,ReutersAfrica,"before the coronavirus hit, muna nur farah had started to hate her husband. he’d slink into their home in the somali capital mogadishu at 3:00am with empty pockets, his money squandered on the narcotic leaf khat.  abdi sheikh
reports.  https://t.co/u0jgceooir https://t.co/cf6sxrfva8",11,5,NA,https://af.reuters.com/article/topNews/idAFKBN21K1JO-OZATP
2020-04-03T11:22:47Z,ReutersAfrica,"to curb coronavirus, somalia’s government banned international flights, depriving men like farah’s husband of khat.
“this week every day, he brings home money, vegetables, mangoes, meat, food,” said farah. “i love him now. life is superb.” https://t.co/sq0ulvnrt7",0,19,NA,NA
2020-04-03T11:21:10Z,ReutersAfrica,medical aid marooned as africa shuts borders amid coronavirus pandemic https://t.co/vxmcnd47yw,6,7,NA,https://reut.rs/3dNwokJ
2020-04-03T11:12:51Z,ReutersAfrica,east africa locust swarms gather as coronavirus curbs delay pesticides https://t.co/wzq6pbd1lj,21,32,NA,https://af.reuters.com/article/africaTech/idAFKBN21L1KR-OZATP
2020-04-03T10:21:15Z,ReutersAfrica,malawi records first three cases of coronavirus https://t.co/7osnosjveq,10,11,NA,https://af.reuters.com/article/topNews/idAFKBN21L115-OZATP
2020-04-03T10:21:00Z,ReutersAfrica,un agency keeps africa food aid flowing amid coronavirus https://t.co/r07hmrluhp,14,12,NA,https://af.reuters.com/article/africaTech/idAFKBN21L0WA-OZATP
2020-04-03T09:51:41Z,ReutersAfrica,tens of thousands of fake messages about coronavirus are being sent across nigeria via social media. now tech giants are stepping in. emer mccarthy reports. https://t.co/gdlov7mpov,30,38,NA,NA
2020-04-03T08:20:39Z,ReutersAfrica,south africa launches mobile tracking of those with coronavirus https://t.co/xbwamujivx,42,32,NA,https://af.reuters.com/article/topNews/idAFKBN21L0WC-OZATP
2020-04-03T08:14:06Z,ReutersAfrica,rwanda secures $109 million imf loan to tackle coronavirus https://t.co/zuptude1oh,329,200,NA,https://af.reuters.com/article/investingNews/idAFKBN21L0UP-OZABS
2020-04-02T13:52:08Z,ReutersAfrica,"governments and tech giants are fighting misinformation about coronavirus on social media platforms in africa. but the volume of falsehoods may be too high for the battle to be won, suggests a @meltwater exec and @debolalagos https://t.co/9kbcu6wewv https://t.co/xihmgfn8z0",0,5,NA,NA
2020-04-02T13:50:50Z,ReutersAfrica,wives rejoice and traders despair as coronavirus halts khat supply to somalia https://t.co/u0jgceooir,38,35,NA,https://af.reuters.com/article/topNews/idAFKBN21K1JO-OZATP
2020-04-02T12:31:37Z,ReutersAfrica,zambia records first coronavirus death - health minister https://t.co/5jommdeom6,9,7,NA,https://af.reuters.com/article/commoditiesNews/idAFL8N2BQ3PA
2020-04-02T12:20:25Z,ReutersAfrica,south africa is sending testing teams into townships amid fears they could provide a fertile breeding ground for covid-19. david doyle reports. https://t.co/oo3kt7yjjv,44,45,NA,NA
2020-04-02T11:45:08Z,ReutersAfrica,"south africa needs to conduct “hundreds of thousands” of coronavirus tests to understand the true number of infections and halt their spread, health minister zweli mkhize said on wednesday.  https://t.co/x60tmdiuwn",6,8,NA,https://af.reuters.com/article/topNews/idAFKBN21K0SH-OZATP
2020-04-02T11:44:11Z,ReutersAfrica,governments across africa are teaming up with technology giants including facebook and whatsapp to fight misinformation about coronavirus on social media platforms. @alexisak  reports. https://t.co/coimvunomn,4,5,NA,https://af.reuters.com/article/topNews/idAFKBN21K1C0-OZATP
2020-04-02T11:06:20Z,ReutersAfrica,african governments team up with tech giants to fight coronavirus lies https://t.co/wgmfl10ffk https://t.co/zfpdoxcirj,24,14,NA,https://buff.ly/3aD6QEQ
2020-04-02T08:50:16Z,ReutersAfrica,senegal seeks $221 mln from imf to mitigate coronavirus shock https://t.co/jtoepf5zn5,9,10,NA,https://af.reuters.com/article/africaTech/idAFKBN21K0X3-OZABS
2020-04-02T08:42:17Z,ReutersAfrica,egypt's health sector races to scale up coronavirus readiness https://t.co/fnbaejk8kc,11,5,NA,https://af.reuters.com/article/topNews/idAFKBN21K0S5-OZATP
2020-04-02T08:41:52Z,ReutersAfrica,south africa needs 'hundreds of thousands' of virus tests - health minister https://t.co/x60tmdqtyd,7,5,NA,https://af.reuters.com/article/topNews/idAFKBN21K0SH-OZATP
2020-04-01T14:57:39Z,ReutersAfrica,ethiopia has postponed parliamentary elections which had been due to take place in august amid the coronavirus crisis. nneka chile reports. https://t.co/gwo7vuejeg,13,13,NA,NA
2020-04-01T14:46:50Z,ReutersAfrica,ugandan doctors say anti-coronavirus measures could cause deaths https://t.co/8m5d4w1ygw,14,8,NA,https://af.reuters.com/article/africaTech/idAFKBN21J592-OZATP
2020-04-01T14:32:42Z,ReutersAfrica,south africa is sending testing teams into townships amid fears they could provide a fertile breeding ground for covid-19. david doyle reports. https://t.co/qzbsa2gim0,32,29,NA,NA
2020-04-01T14:22:16Z,ReutersAfrica,"african finance ministers want international monetary fund, world bank and eu support for bilateral, multilateral and commercial debt relief amid the coronavirus crisis, the un economic commission for africa (uneca) said. https://t.co/bdvqjxpqfc https://t.co/7ffy4bqz6u",17,14,NA,https://buff.ly/3427tVP
2020-04-01T10:00:15Z,ReutersAfrica,ghana slashes gdp forecast over coronavirus shock https://t.co/t9xt7p7elt,13,13,NA,https://af.reuters.com/article/africaTech/idAFKBN21J4O9-OZABS
2020-04-01T09:13:24Z,ReutersAfrica,u.s. says two locally employed staff at foreign missions died of the coronavirus https://t.co/0yj7gm8psc,3,3,NA,https://af.reuters.com/article/topNews/idAFKBN21J4MI-OZATP
2020-04-01T08:33:58Z,ReutersAfrica,"ethiopia has postponed parliamentary elections scheduled for august due to the coronavirus outbreak, the electoral board said on tuesday, a move endorsed by some key opposition parties. https://t.co/3sal3bkddm",21,16,NA,https://buff.ly/2xHEyuo
2020-04-01T08:14:56Z,ReutersAfrica,botswana records first death from coronavirus - vice president https://t.co/fshufqwv1g,9,9,NA,https://af.reuters.com/article/topNews/idAFKBN21J4OD-OZATP
2020-04-01T08:11:15Z,ReutersAfrica,ethiopia postpones august election due to coronavirus https://t.co/8tunxmd1x3,6,6,NA,https://af.reuters.com/article/africaTech/idAFKBN21J4KT-OZATP
2020-04-01T08:11:06Z,ReutersAfrica,"lagos, africa’s largest city of at least 20 million people, ground to a halt on tuesday as it and the nigerian capital abuja entered a two-week lockdown to stop the spread of the coronavirus. @katchysangel and @alexisak report.  https://t.co/0tzyjdci6v https://t.co/xz0antptnk",29,35,NA,https://buff.ly/2R1bnZX
2020-04-01T08:05:28Z,ReutersAfrica,south africa should seek imf funding to deal with pandemic - iif https://t.co/ntkkcpoayk,6,5,NA,https://af.reuters.com/article/investingNews/idAFKBN21J4MA-OZABS
2020-03-31T17:27:58Z,ReutersAfrica,africa's biggest city lagos locks down to defend against coronavirus https://t.co/hykzajwupb,13,15,NA,https://af.reuters.com/article/africaTech/idAFKBN21I2AI-OZATP
2020-03-31T14:07:08Z,ReutersAfrica,"zimbabwe began a 21-day nationwide lockdown on monday, implementing tough anti-coronavirus measures that are likely to hurt an economy already suffering from hyperinflation and food shortages. olivia chan reports. https://t.co/v1jvqfojqt",29,23,NA,NA
2020-03-31T13:50:02Z,ReutersAfrica,"tanzania confirmed its first coronavirus death on tuesday, health minister ummy mwalimu said in a statement. the 49-year-old tanzanian male, who had pre-existing conditions, had been admitted to mloganzila hospital in dar es salaam for treatment.  https://t.co/5y4jbwsqh3 https://t.co/hmhsyd75n4",8,10,NA,https://buff.ly/2w1529w
2020-03-31T13:38:40Z,ReutersAfrica,"sierra leone has confirmed its first case of coronavirus, president says https://t.co/pi0ika0bgu",70,40,NA,https://af.reuters.com/article/commoditiesNews/idAFL8N2BO4J6
2020-03-31T10:53:49Z,ReutersAfrica,coronavirus comes to rescue of sierra leone's plundered rosewood https://t.co/6hota2gfsk,22,10,NA,https://af.reuters.com/article/topNews/idAFKBN21I1DK-OZATP
2020-03-31T10:39:22Z,ReutersAfrica,south africa's standard bank withdraws guidance over coronavirus https://t.co/n67u9rrynv,0,1,NA,https://af.reuters.com/article/investingNews/idAFKBN21I0T9-OZABS
2020-03-31T07:52:28Z,ReutersAfrica,"tanzania confirms its first coronavirus death, health minister says https://t.co/9gtbdz0kqt",27,28,NA,https://af.reuters.com/article/commoditiesNews/idAFL8N2BM0SP
2020-03-31T07:51:55Z,ReutersAfrica,botswana records first three  cases of coronavirus - health minister https://t.co/mwnmdvglkf,5,8,NA,https://af.reuters.com/article/botswanaNews/idAFL8N2BK5AO
