"twitter_handle","added_at","is_new_handle","most_recent_tweet"
"newvisionwire",2020-04-12 11:45:12,FALSE,1249246656635326464
"ugandarn",2020-04-12 11:45:12,FALSE,1249267449259835392
"timesofzambia",2020-04-12 11:45:12,FALSE,1248716044484689920
"zadama24",2020-04-12 11:45:12,FALSE,1245495448699310080
"VOAAfrica",2020-04-12 11:45:12,FALSE,1249279667229659136
"AfricaCDC",2020-04-12 11:45:12,FALSE,1247866163369033728
"WHOAFRO",2020-04-12 11:45:12,FALSE,1249283750338445312
"PresidencyZA",2020-04-12 11:45:12,FALSE,1249289237033373696
"CyrilRamaphosa",2020-04-12 11:45:12,FALSE,1249283620310675456
"PMEthiopia",2020-04-12 11:45:12,FALSE,1249284355194851328
"AbiyAhmedAli",2020-04-12 11:45:12,FALSE,1249283620155486208
"flyethiopian",2020-04-12 11:45:12,FALSE,1249266686877929472
"airmauritius",2020-04-12 11:45:12,FALSE,1249285998980354048
"UG_Airlines",2020-04-12 11:45:12,FALSE,1248913726809542656
"ZambiaAirports",2020-04-12 11:45:12,FALSE,1248328823537577984
"aviationtz",2020-04-12 11:45:12,FALSE,1249278334015614976
"FlyAirSenegal",2020-04-12 11:45:12,FALSE,1244744972798132224
"flysaa",2020-04-12 11:45:12,FALSE,1239554011226951680
"UrugwiroVillage",2020-04-12 11:45:12,FALSE,427860709632778240
"PaulKagame",2020-04-12 11:45:12,FALSE,1248235214947713024
"MOH_Kenya",2020-04-12 11:45:12,FALSE,1249261786764840960
"Fmohnigeria",2020-04-12 11:45:12,FALSE,1247866813305761792
"NCDCgov",2020-04-12 11:45:12,FALSE,1249282254808866816
"WHONigeria",2020-04-12 11:45:12,FALSE,1249243871659225088
"nigerianports",2020-04-12 11:45:12,FALSE,1249273446040813568
"NGRPresident",2020-04-12 11:45:12,FALSE,1.249243957739e+18
"fmaviationng",2020-04-12 11:45:12,FALSE,1248611649960857600
"TheVillaSomalia",2020-04-12 11:45:12,FALSE,1247832627291267072
"ReutersAfrica",2020-04-14 08:58:09,FALSE,1249736622263984128
"BBGAfrica",2020-04-14 08:58:09,FALSE,1249946062590271488
